Date,Exercise,Weight (kg),Reps,Volume,Lift Category,Accessory Category
2025-07-08,Bench Press (Barbell),85,3,255,Bench,
2025-07-08,Bench Press (Barbell),85,3,255,Bench,
2025-07-08,Bench Press (Barbell),85,3,255,Bench,
2025-07-08,Squat (Barbell),152,3,456,Squat,
2025-07-08,Chest Supported Row (Machine),81.6,6,489.6,,Back
2025-07-08,Squat (Barbell),136.1,3,408.3,Squat,
2025-07-08,Squat (Barbell),131.5,3,394.5,Squat,
2025-07-08,Squat (Barbell),129.3,3,387.9,Squat,
2025-07-08,Squat (Barbell),129.3,3,387.9,Squat,
2025-07-08,Sumo Deadlift (Barbell),79.4,10,794,,Other
2025-07-08,Sumo Deadlift (Barbell),79.4,10,794,,Other
2025-07-08,Squat (Barbell),136.1,3,408.3,Squat,
2025-07-09,Bench Press (Barbell),85,4,340,Bench,
2025-07-09,Bench Press (Barbell),80,4,320,Bench,
2025-07-09,Deadlift (Barbell),170,3,510,Deadlift,
2025-07-09,Deadlift (Barbell),145,3,435,Deadlift,
2025-07-09,Bench Press (Barbell),80,4,320,Bench,
2025-07-09,Deadlift (Barbell),145,3,435,Deadlift,
2025-07-09,Lat Pulldown,68,6,408,,Back
2025-07-09,Lat Pulldown,68,6,408,,Back
2025-07-09,Lat Pulldown,68,6,408,,Back
2025-07-09,Deadlift (Barbell),145,3,435,Deadlift,
2025-07-11,Hack Squat,113.4,4,453.6,,Leg Accessory
2025-07-11,Hack Squat,90.7,4,362.8,,Leg Accessory
2025-07-11,Hack Squat,90.7,4,362.8,,Leg Accessory
2025-07-11,Hack Squat,90.7,4,362.8,,Leg Accessory
2025-07-11,Hack Squat,90.7,4,362.8,,Leg Accessory
2025-07-11,Wrist Curls,25,12,300,,Other
2025-07-11,Wrist Curls,25,12,300,,Other
2025-07-11,Wrist Curls,25,12,300,,Other
2025-07-11,Wrist Curls,75,5,375,,Other
2025-07-11,Wrist Curls,25,12,300,,Other
2025-07-11,Leg Press,163.3,8,1306.4,,Leg Accessory
2025-07-11,Leg Press,163.3,8,1306.4,,Leg Accessory
2025-07-11,Leg Press,186,8,1488,,Leg Accessory
2025-07-11,Bench Press (Barbell),70.3,4,281.2,Bench,
2025-07-11,Bench Press (Barbell),61.2,6,367.2,Bench,
2025-07-11,Wrist Curls,75,5,375,,Other
2025-07-11,Bench Press (Barbell),59,6,354,Bench,
2025-07-15,Bench Press (Barbell),95,3,285,Bench,
2025-07-15,Bench Press (Barbell),105,3,315,Bench,
2025-07-15,Bench Press (Barbell),90,3,270,Bench,
2025-07-15,Squat (Barbell),160,3,480,Squat,
2025-07-15,Bench Press (Barbell),90,3,270,Bench,
2025-07-15,Squat (Barbell),145,3,435,Squat,
2025-07-16,Deadlift (Barbell),155,3,465,Deadlift,
2025-07-16,Deadlift (Barbell),185,3,555,Deadlift,
2025-07-16,Bench Press (Barbell),38.6,4,154.4,Bench,
2025-07-16,Bench Press (Barbell),40.8,4,163.2,Bench,
2025-07-19,Leg Press,204.1,8,1632.8,,Leg Accessory
2025-07-19,Leg Press,204.1,8,1632.8,,Leg Accessory
2025-07-22,Bench Press (Barbell),95,3,285,Bench,
2025-07-22,Bench Press (Barbell),102.2,2,204.4,Bench,
2025-07-22,Squat (Barbell),160,3,480,Squat,
2025-07-22,Bench Press (Barbell),105,3,315,Bench,
2025-07-22,Squat (Barbell),145,3,435,Squat,
2025-07-22,Chest Supported Row (Machine),99.8,8,798.4,,Back
2025-07-22,Chest Supported Row (Machine),99.8,8,798.4,,Back
2025-07-22,Squat (Barbell),145,3,435,Squat,
2025-07-24,Deadlift (Barbell),195,3,585,Deadlift,
2025-07-25,Squat (Barbell),154.323582,1,154.323582,Squat,
2025-07-25,Squat (Barbell),160,3,480,Squat,
2025-07-25,Squat (Barbell),145,3,435,Squat,
2025-07-25,Squat (Barbell),145,3,435,Squat,
2025-07-25,Squat (Barbell),131.5,3,394.5,Squat,
2025-07-25,Squat (Barbell),127.5,3,382.5,Squat,
2025-07-25,Squat (Barbell),127.5,3,382.5,Squat,
2025-07-25,Squat (Barbell),154.323582,1,154.323582,Squat,
2025-07-25,Squat (Barbell),154.323582,1,154.323582,Squat,
2025-07-25,Squat (Barbell),154.323582,1,154.323582,Squat,
2025-07-25,Squat (Barbell),182.9836758,1,182.9836758,Squat,
2025-07-25,Squat (Barbell),155,1,155,Squat,
2025-07-25,Squat (Barbell),100,1,100,Squat,
2025-07-25,Squat (Barbell),110,1,110,Squat,
2025-07-25,Squat (Barbell),120,1,120,Squat,
2025-07-25,Squat (Barbell),150,1,150,Squat,
2025-07-25,Deadlift (Barbell),195,2,390,Deadlift,
2025-07-25,Deadlift (Barbell),155,3,465,Deadlift,
2025-07-25,Deadlift (Barbell),145,3,435,Deadlift,
2025-07-25,Deadlift (Barbell),145,3,435,Deadlift,
2025-07-25,Deadlift (Barbell),195,1,195,Deadlift,
2025-07-25,Squat (Barbell),182.9836758,1,182.9836758,Squat,
2025-07-25,Squat (Barbell),160,1,160,Squat,
2025-07-29,Squat (Barbell),155,3,465,Squat,
2025-07-29,Bench Press (Barbell),110,3,330,Bench,
2025-07-29,Bench Press (Barbell),100,3,300,Bench,
2025-07-29,Bench Press (Barbell),100,2,200,Bench,
2025-07-29,Squat (Barbell),170,3,510,Squat,
2025-07-29,Squat (Barbell),155,2,310,Squat,
2025-07-29,Leg Press,81.6,8,652.8,,Leg Accessory
2025-07-29,Leg Press,81.6,8,652.8,,Leg Accessory
2025-07-29,Leg Press,167.8,8,1342.4,,Leg Accessory
2025-07-29,Leg Press,204.1,8,1632.8,,Leg Accessory
2025-07-29,Leg Press,204.1,8,1632.8,,Leg Accessory
2025-07-31,Deadlift (Barbell),205,3,615,Deadlift,
2025-08-02,Back Extension (Weighted),15.9,6,95.4,,Back
2025-08-02,Back Extension (Weighted),20.4,8,163.2,,Back
2025-08-02,Chest Supported Row (Machine),95.3,6,571.8,,Back
2025-08-02,Chest Supported Row (Machine),81.6,6,489.6,,Back
2025-08-02,Chest Supported Row (Machine),99.8,8,798.4,,Back
2025-08-05,Bench Press (Barbell),111,2,222,Bench,
2025-08-05,Bench Press (Barbell),100,2,200,Bench,
2025-08-05,Bench Press (Barbell),100,2,200,Bench,
2025-08-05,Bench Press (Barbell),115,1,115,Bench,
2025-08-05,Deadlift (Barbell),125,1,125,Deadlift,
2025-08-05,Deadlift (Barbell),206,1,206,Deadlift,
2025-08-05,Deadlift (Barbell),155,1,155,Deadlift,
2025-08-05,Deadlift (Barbell),190,1,190,Deadlift,
2025-08-05,Deadlift (Barbell),210,1,210,Deadlift,
2025-08-05,Bench Press (Barbell),116.5,1,116.5,Bench,
2025-08-13,Bench Press (Barbell),45.4,3,136.2,Bench,
2025-08-13,Bench Press (Barbell),54.4,3,163.2,Bench,
2025-08-13,Bench Press (Barbell),47.6,3,142.8,Bench,
2025-08-13,Bench Press (Barbell),95.3,5,476.5,Bench,
2025-08-13,Bench Press (Barbell),47.6,3,142.8,Bench,
2025-08-13,Squat (Barbell),77.1,3,231.3,Squat,
2025-08-13,Squat (Barbell),68,3,204,Squat,
2025-08-13,Squat (Barbell),124.7,5,623.5,Squat,
2025-08-13,Romanian Deadlift (Dumbbell),27.2,5,136,,Leg Accessory
2025-08-13,Squat (Barbell),65.8,3,197.4,Squat,
2025-08-13,Romanian Deadlift (Dumbbell),27.2,8,217.6,,Leg Accessory
2025-08-13,Romanian Deadlift (Dumbbell),31.8,8,254.4,,Leg Accessory
2025-08-13,Squat (Barbell),70.3,3,210.9,Squat,
2025-08-14,Deadlift (Barbell),97.5,3,292.5,Deadlift,
2025-08-14,Deadlift (Barbell),83.9,3,251.7,Deadlift,
2025-08-14,Pendlay Row,83.9,8,671.2,,Back
2025-08-14,Deadlift (Barbell),156.5,5,782.5,Deadlift,
2025-08-14,Pendlay Row,102.1,4,408.4,,Back
2025-08-14,Single Leg Press,140,8,1120,,Leg Accessory
2025-08-14,Single Leg Press,150,8,1200,,Leg Accessory
2025-08-14,Pendlay Row,83.9,8,671.2,,Back
2025-08-16,Squat (Barbell),127,4,508,Squat,
2025-08-16,Squat (Barbell),102.1,4,408.4,Squat,
2025-08-16,Squat (Barbell),111.1,4,444.4,Squat,
2025-08-16,Stiff Leg Deadlift,136.1,4,544.4,,Other
2025-08-16,Leg Extension,93,8,744,,Leg Accessory
2025-08-16,Stiff Leg Deadlift,136.1,4,544.4,,Other
2025-08-16,Leg Extension,68,12,816,,Leg Accessory
2025-08-16,Leg Extension,97.5,8,780,,Leg Accessory
2025-08-16,Spoto Press,93,3,279,,Other
2025-08-16,Leg Curl,63.5,8,508,,Leg Accessory
2025-08-16,Shrug (Barbell),86.2,12,1034.4,,Back
2025-08-16,Shrug (Barbell),86.2,12,1034.4,,Back
2025-08-16,Chest Supported Row (Machine),95.3,6,571.8,,Back
2025-08-16,Leg Curl,38.6,12,463.2,,Leg Accessory
2025-08-16,Spoto Press,83.9,5,419.5,,Other
2025-08-16,Leg Curl,63.5,8,508,,Leg Accessory
2025-08-16,Chest Supported Row (Machine),81.6,6,489.6,,Back
2025-08-20,Romanian Deadlift (Dumbbell),27.2,5,136,,Leg Accessory
2025-08-20,Romanian Deadlift (Dumbbell),31.8,8,254.4,,Leg Accessory
2025-08-20,Leg Press,90.7,8,725.6,,Leg Accessory
2025-08-20,Squat (Barbell),152,3,456,Squat,
2025-08-20,Squat (Barbell),133.8,4,535.2,Squat,
2025-08-20,Squat (Barbell),156.5,3,469.5,Squat,
2025-08-20,Squat (Barbell),174.6,3,523.8,Squat,
2025-08-20,Bench Press (Barbell),102.1,3,306.3,Bench,
2025-08-20,Bench Press (Barbell),95.3,4,381.2,Bench,
2025-08-20,Bench Press (Barbell),106.6,3,319.8,Bench,
2025-08-20,Bench Press (Barbell),117.9,3,353.7,Bench,
2025-08-20,Leg Press,81.6,8,652.8,,Leg Accessory
2025-08-21,Deadlift (Barbell),220,3,660,Deadlift,
2025-08-21,Pendlay Row,70.3,8,562.4,,Back
2025-08-21,Pendlay Row,83.9,6,503.4,,Back
2025-08-26,Squat (Barbell),156.5,3,469.5,Squat,
2025-08-26,Squat (Barbell),174.6,3,523.8,Squat,
2025-08-26,Bench Press (Barbell),100,2,200,Bench,
2025-08-26,Bench Press (Barbell),106.6,3,319.8,Bench,
2025-08-26,Bench Press (Barbell),117.9,3,353.7,Bench,
2025-08-27,Bench Press (Barbell),100,4,400,Bench,
2025-08-27,Bench Press (Barbell),95,4,380,Bench,
2025-08-27,Deadlift (Barbell),220,3,660,Deadlift,
2025-08-27,Front Squat (Barbell),122.5,5,612.5,,Other
2025-08-27,Front Squat (Barbell),122.5,5,612.5,,Other
2025-08-27,Front Squat (Barbell),163.3,7,1143.1,,Other
2025-08-27,Deadlift (Barbell),186,3,558,Deadlift,
2025-08-29,Romanian Deadlift (Barbell),80,8,640,,Leg Accessory
2025-08-29,Romanian Deadlift (Barbell),70,8,560,,Leg Accessory
2025-08-29,Romanian Deadlift (Barbell),70,8,560,,Leg Accessory
2025-09-01,Squat (Barbell),150,2,300,Squat,
2025-09-01,Squat (Barbell),160,1,160,Squat,
2025-09-01,Squat (Barbell),160,1,160,Squat,
2025-09-01,Bench Press (Barbell),100,2,200,Bench,
2025-09-01,Bench Press (Barbell),105,1,105,Bench,
2025-09-01,Leg Press,204.1,5,1020.5,,Leg Accessory
2025-09-01,Bench Press (Barbell),105,1,105,Bench,
2025-09-01,Leg Press,204.1,5,1020.5,,Leg Accessory
2025-09-01,Leg Press,204.1,5,1020.5,,Leg Accessory
2025-09-02,Long Pause Bench Press,88.5,2,177,,Other
2025-09-02,Long Pause Bench Press,88.5,2,177,,Other
2025-09-02,Long Pause Bench Press,88.5,2,177,,Other
2025-09-02,Long Pause Bench Press,88.5,2,177,,Other
2025-09-02,Bench Press (Close Grip),81.6,3,244.8,,Tricep
2025-09-02,Bench Press (Close Grip),81.6,3,244.8,,Tricep
2025-09-02,Tricep Extension (Cable),130,3,390,,Tricep
2025-09-02,Tricep Extension (Cable),130,3,390,,Tricep
2025-09-02,Tricep Extension (Cable),130,3,390,,Tricep
2025-09-02,Lat Pulldown,77.1,10,771,,Back
2025-09-02,Lat Pulldown,77.1,10,771,,Back
2025-09-02,Lat Pulldown,77.1,10,771,,Back
2025-09-02,Bench Press (Close Grip),81.6,3,244.8,,Tricep
2025-09-04,Deadlift (Barbell),160,1,160,Deadlift,
2025-09-04,Deadlift (Barbell),185,1,185,Deadlift,
2025-09-04,Deadlift (Barbell),195,1,195,Deadlift,
2025-09-04,Deadlift (Barbell),205,1,205,Deadlift,
2025-09-04,Deadlift (Barbell),185,1,185,Deadlift,
2025-09-04,Squat (Barbell),160,1,160,Squat,
2025-09-04,Hip Thrust (Machine),90,10,900,,Back
2025-09-04,Hip Thrust (Machine),90,10,900,,Back
2025-09-04,Hip Thrust (Machine),180,10,1800,,Back
2025-09-04,Squat (Barbell),150,1,150,Squat,
2025-09-06,Spoto Press,95.3,3,285.9,,Other
2025-09-06,Bench Press (Barbell),95,1,95,Bench,
2025-09-06,Bench Press (Barbell),100,1,100,Bench,
2025-09-06,Bench Press (Barbell),105,1,105,Bench,
2025-09-08,Squat (Barbell),157.5,1,157.5,Squat,
2025-09-08,Squat (Barbell),165,1,165,Squat,
2025-09-08,Squat (Barbell),170,1,170,Squat,
2025-09-08,Bench Press (Barbell),102.5,1,102.5,Bench,
2025-09-08,Bench Press (Barbell),107.5,1,107.5,Bench,
2025-09-08,Bench Press (Barbell),112.5,1,112.5,Bench,
2025-09-08,Squat (Paused),153.1,2,306.2,,Other
2025-09-08,Squat (Barbell),175,1,175,Squat,
2025-09-09,Deadlift (Barbell),115,1,115,Deadlift,
2025-09-09,Deadlift (Barbell),102.5,1,102.5,Deadlift,
2025-09-09,Deadlift (Barbell),92.5,1,92.5,Deadlift,
2025-09-09,Long Pause Bench Press,90,3,270,,Other
2025-09-09,Long Pause Bench Press,90,3,270,,Other
2025-09-11,Deadlift (Barbell),185,1,185,Deadlift,
2025-09-11,Deadlift (Barbell),207.5,1,207.5,Deadlift,
2025-09-11,Deadlift (Barbell),217.5,1,217.5,Deadlift,
2025-09-11,Deadlift (Barbell),195,1,195,Deadlift,
2025-09-15,Squat (Barbell),170,1,170,Squat,
2025-09-15,Squat (Barbell),177.5,1,177.5,Squat,
2025-09-15,Bench Press (Barbell),97.5,1,97.5,Bench,
2025-09-15,Squat (Barbell),145,1,145,Squat,
2025-09-15,Bench Press (Barbell),115,1,115,Bench,
2025-09-15,Deadlift (Barbell),175,1,175,Deadlift,
2025-09-15,Deadlift (Barbell),215,1,215,Deadlift,
2025-09-15,Deadlift (Barbell),220,1,220,Deadlift,
2025-09-15,Bench Press (Barbell),112.5,1,112.5,Bench,
2025-09-20,Hack Squat,79.4,1,79.4,,Leg Accessory
2025-09-20,Hack Squat,76,1,76,,Leg Accessory
2025-09-20,Hack Squat,71.4,1,71.4,,Leg Accessory
2025-09-22,Squat (Barbell),145,1,145,Squat,
2025-09-22,Bench Press (Barbell),105,1,105,Bench,
2025-09-22,Bench Press (Barbell),102.5,1,102.5,Bench,
2025-09-22,Bench Press (Barbell),95,1,95,Bench,
2025-09-22,Squat (Barbell),162.5,1,162.5,Squat,
2025-09-22,Squat (Barbell),157.5,1,157.5,Squat,
2025-09-30,Squat (Barbell),145,1,145,Squat,
2025-09-30,Bench Press (Barbell),97.5,1,97.5,Bench,
2025-10-04,Squat (Barbell),145,1,145,Squat,
2025-10-04,Squat (Barbell),175,1,175,Squat,
2025-10-04,Squat (Barbell),155,1,155,Squat,
2025-10-04,Bench Press (Barbell),97.5,1,97.5,Bench,
2025-10-04,Deadlift (Barbell),185,1,185,Deadlift,
2025-10-04,Bench Press (Barbell),107.5,1,107.5,Bench,
2025-10-04,Deadlift (Barbell),175,1,175,Deadlift,
2025-10-04,Deadlift (Barbell),200,1,200,Deadlift,
2025-10-04,Bench Press (Barbell),97.5,1,97.5,Bench,
2025-10-13,Chest Supported Row (Machine),81.6,10,816,,Back
2025-10-13,Chest Supported Row (Machine),81.6,10,816,,Back
2025-10-13,Chest Supported Row (Machine),81.6,10,816,,Back
2025-10-13,Chest Supported Row (Machine),81.6,10,816,,Back
2025-10-13,Bench Press (Barbell),95,3,285,Bench,
2025-10-13,Bench Press (Barbell),95,3,285,Bench,
2025-10-13,Leg Press,163.3,10,1633,,Leg Accessory
2025-10-13,Leg Press,163.3,10,1633,,Leg Accessory
2025-10-13,Leg Press,163.3,10,1633,,Leg Accessory
2025-10-13,Squat (Barbell),160,3,480,Squat,
2025-10-16,Bench Press (Close Grip),89.6,6,537.6,,Tricep
2025-10-16,Bench Press (Close Grip),89.6,6,537.6,,Tricep
2025-10-16,Spoto Press,90,4,360,,Other
2025-10-16,Chest Supported Row (Machine),54.4,8,435.2,,Back
2025-10-16,Spoto Press,90,4,360,,Other
2025-10-16,Chest Supported Row (Machine),63.5,8,508,,Back
2025-10-16,Chest Supported Row (Machine),81.6,8,652.8,,Back
2025-10-16,Tricep Extension (Cable),70,12,840,,Tricep
2025-10-16,Tricep Extension (Cable),70,12,840,,Tricep
2025-10-16,Chest Supported Row (Machine),54.4,8,435.2,,Back
2025-10-17,Deadlift (Barbell),185,1,185,Deadlift,
2025-10-17,Deadlift (Barbell),162.5,1,162.5,Deadlift,
2025-10-17,Bench Press (Paused),44.2,3,132.6,,Other
2025-10-17,Bench Press (Paused),44.2,3,132.6,,Other
2025-10-21,Squat (Barbell),155,3,465,Squat,
2025-10-21,Squat (Barbell),160,3,480,Squat,
2025-10-21,Chest Supported Row (Machine),90.7,10,907,,Back
2025-10-21,Chest Supported Row (Machine),90.7,10,907,,Back
2025-10-21,Chest Supported Row (Machine),90.7,10,907,,Back
2025-10-23,Romanian Deadlift (Barbell),102.5,8,820,,Leg Accessory
2025-10-23,Romanian Deadlift (Barbell),102.5,8,820,,Leg Accessory
2025-10-23,Romanian Deadlift (Barbell),102.5,8,820,,Leg Accessory
2025-10-23,Spoto Press,100,3,300,,Other
2025-10-23,Spoto Press,100,3,300,,Other
2025-10-25,Hack Squat,181.4,8,1451.2,,Leg Accessory
2025-10-25,Hack Squat,71.4,3,214.2,,Leg Accessory
2025-10-25,Leg Press,163.3,10,1633,,Leg Accessory
2025-10-25,Leg Press,163.3,10,1633,,Leg Accessory
2025-10-27,Leg Press,163.3,10,1633,,Leg Accessory
2025-10-27,Leg Press,163.3,10,1633,,Leg Accessory
2025-10-27,Bench Press (Barbell),95,3,285,Bench,
2025-10-27,Bench Press (Barbell),95,3,285,Bench,
2025-10-27,Squat (Barbell),155,3,465,Squat,
2025-10-27,Squat (Barbell),150,1,150,Squat,
2025-10-30,Bench Press (Close Grip),90.7,6,544.2,,Tricep
2025-10-30,Single Leg Press,68,8,544,,Leg Accessory
2025-10-30,Single Leg Press,72.6,8,580.8,,Leg Accessory
2025-10-30,Spoto Press,100,3,300,,Other
2025-10-30,Spoto Press,90.7,4,362.8,,Other
2025-10-30,Stiff Leg Deficit Deadlift,102.1,8,816.8,,Other
2025-10-30,Stiff Leg Deficit Deadlift,102.1,8,816.8,,Other
2025-10-30,Stiff Leg Deficit Deadlift,102.1,8,816.8,,Other
2025-10-30,Stiff Leg Deficit Deadlift,102.1,8,816.8,,Other
2025-10-30,Bench Press (Close Grip),89.6,6,537.6,,Tricep
2025-11-01,Romanian Deadlift (Barbell),102.1,6,612.6,,Leg Accessory
2025-11-01,Back Extension,31.8,10,318,,Back
2025-11-01,Bench Press (Barbell),95.3,2,190.6,Bench,
2025-11-01,Romanian Deadlift (Barbell),102.5,8,820,,Leg Accessory
2025-11-01,Back Extension,11.3,10,113,,Back
2025-11-01,Bench Press (Barbell),95,3,285,Bench,
2025-11-01,Pendlay Row,83.9,6,503.4,,Back
2025-11-01,Split Squat (Dumbbell),27.2,8,217.6,Squat,
2025-11-01,Split Squat (Dumbbell),27.2,8,217.6,Squat,
2025-11-01,Pendlay Row,83.9,8,671.2,,Back
2025-11-01,Hack Squat,181.4,8,1451.2,,Leg Accessory
2025-11-01,Hack Squat,181.4,8,1451.2,,Leg Accessory
2025-11-04,Bench Press (Barbell),95.25,2,190.5,Bench,
2025-11-04,Squat (Barbell),122,8,976,Squat,
2025-11-04,Leg Press,163.3,8,1306.4,,Leg Accessory
2025-11-04,Leg Press,163.3,8,1306.4,,Leg Accessory
2025-11-04,Bench Press (Barbell),95.25,2,190.5,Bench,
2025-11-04,Lat Pulldown,77.1,10,771,,Back
2025-11-04,Leg Press,186,8,1488,,Leg Accessory
2025-11-04,Chest Supported Row (Machine),81.6,10,816,,Back
2025-11-04,Squat (Barbell),143.5,8,1148,Squat,
2025-11-04,Lat Pulldown,68,8,544,,Back
2025-11-04,Chest Supported Row (Machine),90.7,10,907,,Back
2025-11-06,Stiff Leg Deficit Deadlift,111.1,8,888.8,,Other
2025-11-06,Stiff Leg Deficit Deadlift,111.1,8,888.8,,Other
2025-11-06,Stiff Leg Deficit Deadlift,111.1,8,888.8,,Other
2025-11-06,Bench Press (Close Grip),93,6,558,,Tricep
2025-11-06,Spoto Press,93,4,372,,Other
2025-11-06,Spoto Press,93,4,372,,Other
2025-11-06,Single Leg Press,90.7,8,725.6,,Leg Accessory
2025-11-06,Single Leg Press,90.7,8,725.6,,Leg Accessory
2025-11-06,Bench Press (Close Grip),93,6,558,,Tricep
2025-11-08,Bench Press (Barbell),99.8,2,199.6,Bench,
2025-11-08,Bench Press (Barbell),99.8,2,199.6,Bench,
2025-11-08,Romanian Deadlift (Barbell),102.1,6,612.6,,Leg Accessory
2025-11-08,Romanian Deadlift (Barbell),102.1,6,612.6,,Leg Accessory
2025-11-08,Romanian Deadlift (Barbell),102.1,6,612.6,,Leg Accessory
2025-11-11,Squat (Barbell),155,4,620,Squat,
2025-11-11,Squat (Barbell),155,4,620,Squat,
2025-11-11,Bench Press (Barbell),102.5,3,307.5,Bench,
2025-11-11,Bench Press (Barbell),102.5,3,307.5,Bench,
2025-11-13,Bench Press (Close Grip),94.1,6,564.6,,Tricep
2025-11-13,Bench Press (Close Grip),94.1,6,564.6,,Tricep
2025-11-13,Spoto Press,94.1,4,376.4,,Other
2025-11-13,Spoto Press,94.1,4,376.4,,Other
2025-11-18,Squat (Barbell),136,3,408,Squat,
2025-11-18,Squat (Barbell),155,4,620,Squat,
2025-11-18,Bench Press (Barbell),102.5,3,307.5,Bench,
2025-11-18,Bench Press (Barbell),102.5,3,307.5,Bench,
2025-11-20,Deadlift (Barbell),185,1,185,Deadlift,
2025-11-20,Deadlift (Barbell),162.5,1,162.5,Deadlift,
2025-11-20,Bench Press (Close Grip),95.3,4,381.2,,Tricep
2025-11-20,Bench Press (Close Grip),95.3,4,381.2,,Tricep
2025-11-20,Spoto Press,95.3,2,190.6,,Other
2025-11-20,Spoto Press,95.3,2,190.6,,Other
2025-11-25,Chest Supported Row (Machine),81.6,10,816,,Back
2025-11-25,Chest Supported Row (Machine),81.6,10,816,,Back
2025-11-25,Squat (Barbell),140,3,420,Squat,
2025-11-25,Squat (Barbell),140,3,420,Squat,
2025-11-25,Bench Press (Barbell),107.5,3,322.5,Bench,
2025-11-25,Bench Press (Barbell),107.5,3,322.5,Bench,